timestamp_s,range_m,range_cm
18.263089,2.980000,298.0000
18.326346,3.030000,303.0000
18.374332,3.030000,303.0000
18.423493,3.050000,305.0000
18.471677,3.080000,308.0000
18.535755,3.080000,308.0000
18.583768,3.080000,308.0000
18.631730,3.210000,321.0000
18.679695,3.610000,361.0000
18.743696,5.260000,526.0000
18.791486,5.400000,540.0000
18.839770,5.420000,542.0000
18.886757,5.430000,543.0000
18.951763,5.430000,543.0000
18.999939,5.430000,543.0000
19.063625,5.430000,543.0000
19.111898,5.440000,544.0000
19.158520,5.460000,546.0000
19.206513,5.460000,546.0000
19.272018,5.460000,546.0000
19.318571,5.460000,546.0000
19.366391,5.460000,546.0000
19.431975,5.460000,546.0000
19.479814,5.460000,546.0000
19.527762,5.460000,546.0000
19.591560,5.460000,546.0000
19.639554,5.460000,546.0000
19.687827,5.460000,546.0000
19.735678,5.460000,546.0000
19.799847,5.460000,546.0000
19.847325,5.460000,546.0000
19.895318,5.460000,546.0000
19.959536,5.460000,546.0000
20.007606,5.460000,546.0000
20.055207,5.460000,546.0000
20.103233,5.460000,546.0000
20.150713,5.460000,546.0000
20.214684,5.460000,546.0000
20.262904,5.460000,546.0000
20.310716,5.460000,546.0000
20.374725,5.460000,546.0000
20.423260,5.460000,546.0000
20.471698,5.460000,546.0000
20.519139,5.460000,546.0000
20.583334,5.460000,546.0000
20.631568,5.460000,546.0000
20.679406,5.460000,546.0000
20.743557,5.460000,546.0000
20.791750,5.460000,546.0000
20.855955,5.460000,546.0000
20.903978,5.460000,546.0000
20.951029,5.460000,546.0000
21.015976,5.460000,546.0000
21.063914,5.460000,546.0000
21.111958,5.460000,546.0000
21.158690,5.460000,546.0000
21.222597,5.460000,546.0000
21.271434,5.460000,546.0000
21.318658,5.460000,546.0000
21.366583,5.460000,546.0000
21.415973,5.460000,546.0000
21.480063,5.460000,546.0000
21.528014,5.460000,546.0000
21.576013,5.460000,546.0000
21.623997,5.460000,546.0000
21.687839,5.460000,546.0000
21.735987,5.460000,546.0000
21.783479,5.460000,546.0000
21.831996,5.460000,546.0000
21.895545,5.460000,546.0000
21.943066,5.460000,546.0000
22.007280,5.460000,546.0000
22.056046,5.460000,546.0000
22.103457,5.460000,546.0000
22.150783,5.460000,546.0000
22.214838,5.460000,546.0000
22.264060,5.460000,546.0000
22.310811,5.460000,546.0000
22.374816,5.460000,546.0000
22.424104,5.460000,546.0000
22.472075,5.460000,546.0000
22.536140,5.460000,546.0000
22.583385,5.460000,546.0000
22.647609,5.460000,546.0000
22.696120,5.460000,546.0000
22.743152,5.460000,546.0000
22.808163,5.460000,546.0000
22.856017,5.460000,546.0000
22.904104,5.460000,546.0000
22.967743,5.460000,546.0000
23.016159,5.460000,546.0000
23.064100,5.460000,546.0000
23.111335,5.460000,546.0000
23.174784,5.460000,546.0000
23.222832,5.460000,546.0000
23.272143,5.460000,546.0000
23.318776,5.460000,546.0000
23.382868,5.460000,546.0000
23.431366,5.460000,546.0000
23.479945,5.460000,546.0000
23.528150,5.460000,546.0000
23.592063,5.460000,546.0000
23.640181,5.460000,546.0000
23.688250,5.460000,546.0000
23.752254,5.460000,546.0000
23.800244,5.460000,546.0000
23.848004,5.460000,546.0000
23.912223,5.460000,546.0000
23.959993,5.460000,546.0000
24.007197,5.460000,546.0000
24.071946,5.460000,546.0000
24.120300,5.460000,546.0000
24.166970,5.460000,546.0000
24.214898,5.460000,546.0000
24.280311,5.460000,546.0000
24.326941,5.460000,546.0000
24.374853,5.460000,546.0000
24.439300,5.460000,546.0000
24.488291,5.460000,546.0000
24.551766,5.460000,546.0000
24.600387,5.460000,546.0000
24.647291,5.460000,546.0000
24.712330,5.460000,546.0000
24.760394,5.460000,546.0000
24.824162,5.460000,546.0000
24.872032,5.460000,546.0000
24.919936,5.460000,546.0000
24.967754,5.460000,546.0000
25.032123,5.460000,546.0000
25.079774,5.460000,546.0000
25.127544,5.460000,546.0000
25.175018,5.460000,546.0000
25.223149,5.460000,546.0000
25.287334,5.460000,546.0000
25.335180,5.460000,546.0000
25.383115,5.460000,546.0000
25.432396,5.460000,546.0000
25.495258,5.460000,546.0000
25.543812,5.460000,546.0000
25.592558,5.460000,546.0000
25.639790,5.460000,546.0000
25.704019,5.460000,546.0000
25.751625,5.460000,546.0000
25.800219,5.460000,546.0000
25.848472,5.460000,546.0000
25.912473,5.460000,546.0000
25.960448,5.460000,546.0000
26.007763,5.460000,546.0000
26.071258,5.460000,546.0000
26.119296,5.460000,546.0000
26.167035,5.460000,546.0000
26.215098,5.460000,546.0000
26.279506,5.460000,546.0000
26.327249,5.460000,546.0000
26.375105,5.460000,546.0000
